date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
4/29/2014,138328.4655,2301,6952590,1.64,302458,7809,2.68481032
4/30/2014,207969.1049,1645,6827410,1.54,38202,8044,1.98769172
5/1/2014,257500.4552,2100,6438560,1.52,232684,8024,2.4961588
5/2/2014,300481.0326,2057,6343910,1.35,171901,7758,2.55548372
5/3/2014,260816.1375,1889,5661610,1.2,93670,8016,2.26916824
5/4/2014,489753.5041,1929,5002930,1.55,275743,8760,2.16662828
5/5/2014,535703.0188,2819,6598260,1.67,291678,8162,2.90459263
5/6/2014,161949.6931,3368,7096260,1.61,75746,7743,4.54346784
5/7/2014,105674.6801,2040,6817910,1.63,100953,7187,2.63069463
5/8/2014,277610.6066,1634,6841980,1.65,84669,6843,1.64106147
5/9/2014,128289.9641,2087,7011350,2.23,520876,7204,1.85092681
5/10/2014,1467906.565,2297,9492880,2.57,854388,7295,3.37190853
5/11/2014,1271839.961,2329,10825500,2.57,569871,6779,3.6226893
5/12/2014,803654.7953,2033,10934800,2.47,760914,5923,2.67859301
5/13/2014,4246501.569,2298,10560100,2.77,415759,6397,3.68052362
5/14/2014,5348281.638,2162,11779400,4.01,1721090,6008,2.93550127
5/15/2014,5149931.885,2488,17183700,5.76,3215550,6222,5.96338335
5/16/2014,8585628.834,3557,25025600,5.92,2408390,3805,6.56098358
5/17/2014,1174861.024,2303,25430500,4.74,1637800,3706,4.64778847
5/18/2014,1085201.767,1950,20236200,6.38,2041030,4124,3.54551656
5/19/2014,2086561.237,2025,27873100,6.94,1655720,4716,3.33334164
5/20/2014,3918475.447,2423,29834300,6.88,1290930,4571,4.007148
5/21/2014,1017730.192,1943,29664200,7.99,1414570,4025,2.86699006
5/22/2014,2456058.124,2183,34518300,11.23,4383980,3919,3.20338225
5/23/2014,6445485.11,3015,48114100,13.49,7267510,3358,6.64993866
5/24/2014,6982430.036,3690,58371700,12.1,3637020,2939,8.76899744
5/25/2014,11384021.59,2858,52126000,15.13,3625030,2769,5.40211669
5/26/2014,7776417.479,2644,64986200,11.29,260919,3101,4.78188974
5/27/2014,11886167.89,3589,48786600,10.57,3730600,3911,5.38410388
5/28/2014,2956422.439,2925,45895300,7.21,3909160,3427,6.54771637
5/29/2014,5254600.307,2595,31060800,9.38,6110000,2725,4.57772191
5/30/2014,3365135.706,2523,40678700,11.05,5769570,3220,5.37861051
5/31/2014,2890380.89,2850,48142000,11.33,2675190,3087,4.54273713
6/1/2014,1467478.867,2101,48841800,12.93,3460750,2740,3.12058377
6/2/2014,2839074.056,2216,56183900,14.48,4918700,2773,2.82957983
6/3/2014,10821939.66,2640,63173000,13.9,3096930,2745,4.63853054
6/4/2014,4037913.586,2588,60216600,12.5,1454730,2715,4.90792688
6/5/2014,1770732.293,2305,54275500,10.61,1336970,2862,5.08758136
6/6/2014,3403262.746,2334,46236900,11.77,1613890,2810,4.95501256
6/7/2014,7658018.564,2193,51452900,10.38,506101,2807,3.98726194
6/8/2014,626070.9837,1719,45474400,9.5,1585220,2785,2.5238531
6/9/2014,1534584.292,1961,41476200,9.54,1311350,2753,4.04994266
6/10/2014,1984475.187,1945,41793000,11.65,1541710,2874,3.26213307
6/11/2014,961254.2,2001,50928300,10.27,724358,2831,2.69895919
6/12/2014,1315992.921,1951,45377400,10.18,895885,2845,2.92688675
